Path,File,Date Acquired,Sample,Misc
D:\MassHunter\GCMS\1\data\20181213\,H501.D,13 Dec 2018  19:03    ,H501, 
TIC: H501.D\data.ms,,,,
3.14,35503,,,
3.143,36417,,,
3.147,35240,,,
3.15,36356,,,
3.154,36234,,,
3.157,35256,,,
3.16,34783,,,
3.164,35253,,,
3.167,35339,,,
3.17,35046,,,
3.174,35411,,,
3.177,34916,,,
3.181,34575,,,
3.184,33794,,,
3.187,33706,,,
3.191,34289,,,
3.194,34277,,,
3.197,34379,,,
3.201,35015,,,
3.204,33404,,,
3.208,34843,,,
3.211,32697,,,
3.214,32733,,,
3.218,32506,,,
3.221,32822,,,
3.224,32396,,,
3.228,33435,,,
3.231,33409,,,
3.235,31376,,,
3.238,31675,,,
3.241,30032,,,
3.245,28870,,,
3.248,27479,,,
3.251,26586,,,
3.255,26886,,,
3.258,28393,,,
3.262,27660,,,
3.265,30450,,,
3.268,37496,,,
3.272,43558,,,
3.275,47305,,,
3.278,48850,,,
3.282,46857,,,
3.285,43574,,,
3.289,42980,,,
3.292,38146,,,
3.295,36523,,,
3.299,33609,,,
3.302,31375,,,
3.305,30472,,,
3.309,28225,,,
3.312,28482,,,
3.316,27598,,,
3.319,26922,,,
3.322,26199,,,
3.326,25868,,,
3.329,26250,,,
3.332,25286,,,
3.336,25252,,,
3.339,25114,,,
3.343,24601,,,
3.346,25701,,,
3.349,25164,,,
3.353,28129,,,
3.356,30869,,,
3.359,33101,,,
3.363,34227,,,
3.366,34659,,,
3.37,32097,,,
3.373,31569,,,
3.376,30891,,,
3.38,29893,,,
3.383,28511,,,
3.386,26801,,,
3.39,27000,,,
3.393,26360,,,
3.397,24485,,,
3.4,24846,,,
3.403,24442,,,
3.407,24719,,,
3.41,25329,,,
3.413,24861,,,
3.417,22883,,,
3.42,23921,,,
3.424,23894,,,
3.427,24011,,,
3.43,23804,,,
3.434,23209,,,
3.437,24028,,,
3.44,22590,,,
3.444,22708,,,
3.447,21179,,,
3.451,21217,,,
3.454,20963,,,
3.457,21036,,,
3.461,21522,,,
3.464,20840,,,
3.467,20897,,,
3.471,20560,,,
3.474,20216,,,
3.478,20074,,,
3.481,19901,,,
3.484,20010,,,
3.488,20221,,,
3.491,20253,,,
3.494,20169,,,
3.498,19678,,,
3.501,19675,,,
3.505,19292,,,
3.508,19710,,,
3.511,19315,,,
3.515,20577,,,
